"","sen.slope","sen.slope.pct","p.value","S","varS","miss","tau"
"39657",0.285714285714286,6.49350649350649,0.201867878536715,15,120.333333333333,0,0.333333333333333
"39658",0.25,5.81395348837209,0.647161773909684,6,119.333333333333,0,0.133333333333333
"39659",0.333333333333333,8.33333333333333,0.178600533898422,15,108.333333333333,0,0.333333333333333
"39660",0,0,0.698086404215502,5,106.333333333333,0,0.111111111111111
"39661",0,0,0.629367642926422,6,107.333333333333,0,0.133333333333333
"39662",0,0,0.783604212151156,4,119.333333333333,0,0.0888888888888889
"39663",0.2,10.5263157894737,0.404710464627215,10,116.666666666667,0,0.222222222222222
"39664",0,0,0.639575140948688,6,114,0,0.133333333333333
"39665",0,0,0.449016099060127,9,111.666666666667,0,0.2
"39666",0,0,0.422936763859057,9,99.6666666666667,0,0.2
"39667",0,0,0.160813984979232,15,99.6666666666667,0,0.333333333333333
"39668",0.142857142857143,20.4081632653061,0.169125780814602,15,103.666666666667,0,0.333333333333333
"39669",0,0,0.146576034309001,15,93,0,0.333333333333333
"39670",0,0,0.547838316539747,7,99.6666666666667,0,0.155555555555556
"39671",0,0,1,1,103.666666666667,0,0.0222222222222222
"39672",0,0,0.555664374922883,7,103.666666666667,0,0.155555555555556
"39673",0.125,11.3636363636364,0.343985167566053,11,111.666666666667,0,0.244444444444444
"39674",0,0,0.238562635593107,13,103.666666666667,0,0.288888888888889
"39675",0,0,0.123152687957233,16,94.6666666666667,0,0.355555555555556
"39676",0,0,0.326023046425851,11,103.666666666667,0,0.244444444444444
"39677",0,0,0.146576034309001,15,93,0,0.333333333333333
"39678",0,0,0.24095466870157,12,88,0,0.266666666666667
"39679",0,0,0.337355651776362,10,88,0,0.222222222222222
"39680",0,0,0.337355651776362,10,88,0,0.222222222222222
"39681",0,0,0.171460206064327,13,77,0,0.288888888888889
"39682",0,0,0.171460206064327,13,77,0,0.288888888888889
"39683",0,0,0.171460206064327,13,77,0,0.288888888888889
"39861",0,0,0.822699640558657,-3,79.6666666666667,0,-0.0666666666666667
"39867",0,0,1,0,88,0,0
"39872",0.428571428571429,21.4285714285714,0.0224788733661253,26,120,0,0.577777777777778
