malla_punto_id;CuentaDesnow;anio_hidrologico
32529;2;2000-2001
32529;2;2001-2002
32529;6;2002-2003
32529;2;2003-2004
32529;4;2004-2005
32529;7;2005-2006
32529;3;2006-2007
32529;7;2008-2009
32530;2;2000-2001
32530;6;2002-2003
32530;2;2003-2004
32530;3;2004-2005
32530;6;2005-2006
32530;4;2006-2007
32530;1;2007-2008
32530;7;2008-2009
32531;2;2000-2001
32531;1;2001-2002
32531;4;2002-2003
32531;2;2003-2004
32531;3;2004-2005
32531;3;2005-2006
32531;3;2006-2007
32531;1;2007-2008
32531;6;2008-2009
32532;2;2000-2001
32532;4;2001-2002
32532;4;2002-2003
32532;2;2003-2004
32532;2;2004-2005
32532;2;2005-2006
32532;2;2006-2007
32532;6;2008-2009
32533;1;2000-2001
32533;3;2001-2002
32533;4;2002-2003
32533;2;2003-2004
32533;2;2004-2005
32533;2;2005-2006
32533;1;2006-2007
32533;4;2008-2009
32539;1;2001-2002
32539;2;2002-2003
32539;4;2004-2005
32539;1;2005-2006
32539;2;2006-2007
32539;1;2007-2008
32539;2;2008-2009
32540;1;2001-2002
32540;2;2002-2003
32540;1;2003-2004
32540;3;2004-2005
32540;1;2005-2006
32540;2;2006-2007
32540;1;2007-2008
32540;2;2008-2009
32541;4;2002-2003
32541;1;2003-2004
32541;4;2004-2005
32541;1;2005-2006
32541;2;2006-2007
32541;2;2008-2009
32542;1;2000-2001
32542;2;2001-2002
32542;6;2002-2003
32542;1;2003-2004
32542;5;2004-2005
32542;4;2005-2006
32542;3;2006-2007
32542;2;2008-2009
32543;3;2000-2001
32543;3;2001-2002
32543;6;2002-2003
32543;2;2003-2004
32543;5;2004-2005
32543;6;2005-2006
32543;4;2006-2007
32543;1;2007-2008
32543;3;2008-2009
32544;3;2000-2001
32544;4;2001-2002
32544;7;2002-2003
32544;2;2003-2004
32544;5;2004-2005
32544;4;2005-2006
32544;4;2006-2007
32544;1;2007-2008
32544;4;2008-2009
32545;2;2000-2001
32545;3;2001-2002
32545;7;2002-2003
32545;1;2003-2004
32545;3;2004-2005
32545;3;2005-2006
32545;2;2006-2007
32545;1;2007-2008
32545;1;2008-2009
32546;1;2001-2002
32546;5;2002-2003
32546;3;2004-2005
32546;3;2005-2006
32546;2;2006-2007
32546;1;2008-2009
32547;3;2002-2003
32547;3;2004-2005
32547;2;2005-2006
32547;2;2006-2007
32547;1;2008-2009
32548;3;2002-2003
32548;3;2004-2005
32548;2;2005-2006
32548;2;2006-2007
32548;1;2007-2008
32548;1;2008-2009
33083;1;1999-2000
33083;5;2000-2001
33083;3;2001-2002
33083;9;2002-2003
33083;4;2003-2004
33083;5;2004-2005
33083;10;2005-2006
33083;6;2006-2007
33083;2;2007-2008
33083;12;2008-2009
33084;1;1999-2000
33084;6;2000-2001
33084;3;2001-2002
33084;9;2002-2003
33084;4;2003-2004
33084;6;2004-2005
33084;10;2005-2006
33084;6;2006-2007
33084;2;2007-2008
33084;12;2008-2009
33085;1;1999-2000
33085;6;2000-2001
33085;2;2001-2002
33085;9;2002-2003
33085;4;2003-2004
33085;8;2004-2005
33085;9;2005-2006
33085;5;2006-2007
33085;1;2007-2008
33085;12;2008-2009
33086;5;2000-2001
33086;3;2001-2002
33086;9;2002-2003
33086;4;2003-2004
33086;5;2004-2005
33086;9;2005-2006
33086;4;2006-2007
33086;1;2007-2008
33086;9;2008-2009
33087;5;2000-2001
33087;2;2001-2002
33087;6;2002-2003
33087;4;2003-2004
33087;5;2004-2005
33087;9;2005-2006
33087;4;2006-2007
33087;2;2007-2008
33087;7;2008-2009
33088;2;2000-2001
33088;2;2001-2002
33088;4;2002-2003
33088;4;2003-2004
33088;3;2004-2005
33088;5;2005-2006
33088;4;2006-2007
33088;6;2008-2009
33089;2;2000-2001
33089;3;2001-2002
33089;4;2002-2003
33089;3;2003-2004
33089;2;2004-2005
33089;4;2005-2006
33089;3;2006-2007
33089;6;2008-2009
33090;1;2000-2001
33090;2;2001-2002
33090;4;2002-2003
33090;2;2003-2004
33090;2;2004-2005
33090;3;2005-2006
33090;3;2006-2007
33090;6;2008-2009
33091;1;2000-2001
33091;4;2002-2003
33091;2;2003-2004
33091;2;2004-2005
33091;2;2005-2006
33091;1;2006-2007
33091;3;2008-2009
33096;4;2002-2003
33096;3;2004-2005
33096;1;2005-2006
33096;2;2006-2007
33096;1;2007-2008
33096;2;2008-2009
33097;4;2002-2003
33097;1;2003-2004
33097;3;2004-2005
33097;1;2005-2006
33097;2;2006-2007
33097;1;2007-2008
33097;3;2008-2009
33098;1;2000-2001
33098;4;2002-2003
33098;1;2003-2004
33098;4;2004-2005
33098;1;2005-2006
33098;2;2006-2007
33098;3;2008-2009
33099;1;2000-2001
33099;1;2001-2002
33099;4;2002-2003
33099;1;2003-2004
33099;4;2004-2005
33099;2;2005-2006
33099;2;2006-2007
33099;2;2008-2009
33100;1;2000-2001
33100;1;2001-2002
33100;4;2002-2003
33100;2;2003-2004
33100;4;2004-2005
33100;4;2005-2006
33100;3;2006-2007
33100;5;2008-2009
33101;2;2000-2001
33101;1;2001-2002
33101;7;2002-2003
33101;2;2003-2004
33101;3;2004-2005
33101;4;2005-2006
33101;3;2006-2007
33101;4;2008-2009
33102;2;2000-2001
33102;5;2002-2003
33102;1;2003-2004
33102;3;2004-2005
33102;3;2005-2006
33102;2;2006-2007
33102;1;2007-2008
33102;1;2008-2009
33103;5;2002-2003
33103;3;2004-2005
33103;3;2005-2006
33103;2;2006-2007
33103;1;2008-2009
33104;4;2002-2003
33104;3;2004-2005
33104;3;2005-2006
33104;2;2006-2007
33104;1;2007-2008
33104;1;2008-2009
33105;3;2002-2003
33105;3;2004-2005
33105;2;2005-2006
33105;2;2006-2007
33105;1;2007-2008
33105;1;2008-2009
33106;2;2002-2003
33106;3;2004-2005
33106;1;2005-2006
33106;2;2006-2007
33106;1;2007-2008
33106;1;2008-2009
33492;2;1999-2000
33492;5;2000-2001
33492;4;2001-2002
33492;8;2002-2003
33492;4;2003-2004
33492;6;2004-2005
33492;11;2005-2006
33492;4;2006-2007
33492;3;2007-2008
33492;12;2008-2009
33493;1;1999-2000
33493;5;2000-2001
33493;4;2001-2002
33493;8;2002-2003
33493;4;2003-2004
33493;6;2004-2005
33493;12;2005-2006
33493;5;2006-2007
33493;6;2007-2008
33493;12;2008-2009
33494;1;1999-2000
33494;6;2000-2001
33494;4;2001-2002
33494;8;2002-2003
33494;4;2003-2004
33494;7;2004-2005
33494;10;2005-2006
33494;6;2006-2007
33494;4;2007-2008
33494;12;2008-2009
33495;1;1999-2000
33495;6;2000-2001
33495;4;2001-2002
33495;8;2002-2003
33495;4;2003-2004
33495;8;2004-2005
33495;10;2005-2006
33495;6;2006-2007
33495;4;2007-2008
33495;13;2008-2009
33496;1;1999-2000
33496;6;2000-2001
33496;3;2001-2002
33496;9;2002-2003
33496;4;2003-2004
33496;7;2004-2005
33496;10;2005-2006
33496;6;2006-2007
33496;3;2007-2008
33496;13;2008-2009
33497;1;1999-2000
33497;6;2000-2001
33497;3;2001-2002
33497;8;2002-2003
33497;4;2003-2004
33497;6;2004-2005
33497;10;2005-2006
33497;5;2006-2007
33497;3;2007-2008
33497;11;2008-2009
33498;1;1999-2000
33498;5;2000-2001
33498;2;2001-2002
33498;6;2002-2003
33498;4;2003-2004
33498;6;2004-2005
33498;9;2005-2006
33498;4;2006-2007
33498;1;2007-2008
33498;9;2008-2009
33499;4;2000-2001
33499;1;2001-2002
33499;4;2002-2003
33499;4;2003-2004
33499;5;2004-2005
33499;9;2005-2006
33499;3;2006-2007
33499;1;2007-2008
33499;7;2008-2009
33500;2;2000-2001
33500;1;2001-2002
33500;4;2002-2003
33500;3;2003-2004
33500;3;2004-2005
33500;3;2005-2006
33500;4;2006-2007
33500;7;2008-2009
33501;2;2000-2001
33501;1;2001-2002
33501;4;2002-2003
33501;1;2003-2004
33501;2;2004-2005
33501;2;2005-2006
33501;3;2006-2007
33501;5;2008-2009
33502;1;2000-2001
33502;1;2001-2002
33502;4;2002-2003
33502;1;2003-2004
33502;4;2004-2005
33502;2;2005-2006
33502;2;2006-2007
33502;2;2008-2009
33503;1;2000-2001
33503;4;2002-2003
33503;1;2003-2004
33503;4;2004-2005
33503;2;2005-2006
33503;2;2006-2007
33503;1;2008-2009
33504;1;2000-2001
33504;4;2002-2003
33504;1;2003-2004
33504;4;2004-2005
33504;2;2005-2006
33504;3;2006-2007
33504;5;2008-2009
33505;1;2000-2001
33505;5;2002-2003
33505;1;2003-2004
33505;4;2004-2005
33505;3;2005-2006
33505;3;2006-2007
33505;5;2008-2009
33507;1;2000-2001
33507;5;2002-2003
33507;1;2003-2004
33507;3;2004-2005
33507;1;2005-2006
33507;2;2006-2007
33507;1;2007-2008
33507;3;2008-2009
33508;1;2000-2001
33508;5;2002-2003
33508;1;2003-2004
33508;4;2004-2005
33508;2;2005-2006
33508;2;2006-2007
33508;1;2007-2008
33508;3;2008-2009
33509;1;2000-2001
33509;1;2001-2002
33509;4;2002-2003
33509;1;2003-2004
33509;4;2004-2005
33509;3;2005-2006
33509;2;2006-2007
33509;2;2007-2008
33509;2;2008-2009
33510;1;2000-2001
33510;1;2001-2002
33510;4;2002-2003
33510;1;2003-2004
33510;4;2004-2005
33510;3;2005-2006
33510;3;2006-2007
33510;2;2008-2009
33511;1;2000-2001
33511;1;2001-2002
33511;4;2002-2003
33511;1;2003-2004
33511;4;2004-2005
33511;2;2005-2006
33511;3;2006-2007
33511;2;2008-2009
33512;1;2000-2001
33512;1;2001-2002
33512;4;2002-2003
33512;1;2003-2004
33512;4;2004-2005
33512;2;2005-2006
33512;3;2006-2007
33512;1;2007-2008
33512;3;2008-2009
33513;2;2000-2001
33513;1;2001-2002
33513;5;2002-2003
33513;1;2003-2004
33513;3;2004-2005
33513;2;2005-2006
33513;3;2006-2007
33513;1;2007-2008
33513;3;2008-2009
33514;1;2000-2001
33514;5;2002-2003
33514;3;2004-2005
33514;3;2005-2006
33514;2;2006-2007
33514;1;2007-2008
33514;1;2008-2009
33515;4;2002-2003
33515;3;2004-2005
33515;1;2005-2006
33515;2;2006-2007
33515;1;2007-2008
33515;1;2008-2009
33516;2;2002-2003
33516;3;2004-2005
33516;1;2005-2006
33516;2;2006-2007
33516;1;2007-2008
33516;1;2008-2009
33744;1;1999-2000
33744;4;2000-2001
33744;2;2001-2002
33744;6;2002-2003
33744;3;2003-2004
33744;2;2004-2005
33744;11;2005-2006
33744;4;2006-2007
33744;4;2007-2008
33744;7;2008-2009
33745;1;1999-2000
33745;5;2000-2001
33745;2;2001-2002
33745;8;2002-2003
33745;4;2003-2004
33745;4;2004-2005
33745;12;2005-2006
33745;4;2006-2007
33745;5;2007-2008
33745;10;2008-2009
33746;2;1999-2000
33746;6;2000-2001
33746;4;2001-2002
33746;8;2002-2003
33746;4;2003-2004
33746;6;2004-2005
33746;11;2005-2006
33746;5;2006-2007
33746;5;2007-2008
33746;14;2008-2009
33747;1;1999-2000
33747;6;2000-2001
33747;4;2001-2002
33747;8;2002-2003
33747;4;2003-2004
33747;5;2004-2005
33747;12;2005-2006
33747;5;2006-2007
33747;5;2007-2008
33747;13;2008-2009
33748;1;1999-2000
33748;5;2000-2001
33748;4;2001-2002
33748;8;2002-2003
33748;4;2003-2004
33748;6;2004-2005
33748;10;2005-2006
33748;4;2006-2007
33748;5;2007-2008
33748;13;2008-2009
33749;1;1999-2000
33749;6;2000-2001
33749;4;2001-2002
33749;10;2002-2003
33749;4;2003-2004
33749;6;2004-2005
33749;8;2005-2006
33749;4;2006-2007
33749;6;2007-2008
33749;12;2008-2009
33750;1;1999-2000
33750;6;2000-2001
33750;3;2001-2002
33750;10;2002-2003
33750;5;2003-2004
33750;5;2004-2005
33750;9;2005-2006
33750;4;2006-2007
33750;5;2007-2008
33750;13;2008-2009
33751;1;1999-2000
33751;6;2000-2001
33751;3;2001-2002
33751;10;2002-2003
33751;5;2003-2004
33751;4;2004-2005
33751;9;2005-2006
33751;4;2006-2007
33751;4;2007-2008
33751;12;2008-2009
33752;1;1999-2000
33752;5;2000-2001
33752;3;2001-2002
33752;7;2002-2003
33752;3;2003-2004
33752;6;2004-2005
33752;9;2005-2006
33752;4;2006-2007
33752;2;2007-2008
33752;10;2008-2009
33753;4;2000-2001
33753;1;2001-2002
33753;4;2002-2003
33753;4;2003-2004
33753;4;2004-2005
33753;9;2005-2006
33753;3;2006-2007
33753;2;2007-2008
33753;7;2008-2009
33754;3;2000-2001
33754;1;2001-2002
33754;3;2002-2003
33754;3;2003-2004
33754;4;2004-2005
33754;4;2005-2006
33754;3;2006-2007
33754;1;2007-2008
33754;7;2008-2009
33755;2;2000-2001
33755;1;2001-2002
33755;3;2002-2003
33755;1;2003-2004
33755;4;2004-2005
33755;2;2005-2006
33755;3;2006-2007
33755;6;2008-2009
33756;2;2000-2001
33756;1;2001-2002
33756;4;2002-2003
33756;1;2003-2004
33756;4;2004-2005
33756;2;2005-2006
33756;2;2006-2007
33756;4;2008-2009
33757;1;2000-2001
33757;1;2001-2002
33757;4;2002-2003
33757;1;2003-2004
